,Neighbourhood,Latitude,Longitude,Venue_Name,Venue_Cat,Venue_Lat,Venue_Lng
146,"Anderston, Finnieston, Garnethill, Park, Woodlands (part), Yorkhill",55.8644,-4.2780000000000005,The Good Coffee Cartel,Coffee Shop,55.852104,-4.28723
147,"Anderston, Finnieston, Garnethill, Park, Woodlands (part), Yorkhill",55.8644,-4.2780000000000005,peep show coffee,Art Gallery,55.875321,-4.295248
148,"Anderston, Finnieston, Garnethill, Park, Woodlands (part), Yorkhill",55.8644,-4.2780000000000005,Starbucks,Coffee Shop,55.86646,-4.270681
149,"Anderston, Finnieston, Garnethill, Park, Woodlands (part), Yorkhill",55.8644,-4.2780000000000005,Exchange Coffee Shop,Café,55.859949,-4.25265
150,"Calton (part), Cowcaddens (part), Drygate, Kelvinbridge, Townhead, Woodlands (part), Woodside (part)",55.871,-4.2494,Costa Coffee,Coffee Shop,55.857542040547806,-4.254970188020456
151,"Calton (part), Cowcaddens (part), Drygate, Kelvinbridge, Townhead, Woodlands (part), Woodside (part)",55.871,-4.2494,Costa Coffee,Coffee Shop,55.861292341346456,-4.261413257561387
152,"Calton (part), Cowcaddens (part), Drygate, Kelvinbridge, Townhead, Woodlands (part), Woodside (part)",55.871,-4.2494,Costa Coffee,Coffee Shop,55.86026426268171,-4.252299132794289
153,"Calton (part), Cowcaddens (part), Drygate, Kelvinbridge, Townhead, Woodlands (part), Woodside (part)",55.871,-4.2494,Coffee Booth,Coffee Shop,55.86616672629012,-4.259713672148451
154,"Calton (part), Cowcaddens (part), Drygate, Kelvinbridge, Townhead, Woodlands (part), Woodside (part)",55.871,-4.2494,Costa Coffee,Coffee Shop,55.865140184858376,-4.260184559386185
155,"Calton (part), Cowcaddens (part), Drygate, Kelvinbridge, Townhead, Woodlands (part), Woodside (part)",55.871,-4.2494,Costa Coffee,Coffee Shop,55.86324704916545,-4.25300732756192
156,"Calton (part), Cowcaddens (part), Drygate, Kelvinbridge, Townhead, Woodlands (part), Woodside (part)",55.871,-4.2494,Brew Box Coffee,Coffee Shop,55.85864111410925,-4.247986078262329
157,"Calton (part), Cowcaddens (part), Drygate, Kelvinbridge, Townhead, Woodlands (part), Woodside (part)",55.871,-4.2494,Costa Coffee,Coffee Shop,55.861668,-4.2497435
158,"Calton (part), Cowcaddens (part), Drygate, Kelvinbridge, Townhead, Woodlands (part), Woodside (part)",55.871,-4.2494,Coffee Hut,Coffee Shop,55.86963357122649,-4.244647752660702
159,"Calton (part), Cowcaddens (part), Drygate, Kelvinbridge, Townhead, Woodlands (part), Woodside (part)",55.871,-4.2494,Gordon St Coffee,Coffee Shop,55.8604377940663,-4.257637396214358
160,"Calton (part), Cowcaddens (part), Drygate, Kelvinbridge, Townhead, Woodlands (part), Woodside (part)",55.871,-4.2494,Costa Coffee,Coffee Shop,55.861297481549535,-4.255244325913771
161,"Calton (part), Cowcaddens (part), Drygate, Kelvinbridge, Townhead, Woodlands (part), Woodside (part)",55.871,-4.2494,Coffee Republic,Coffee Shop,55.86512521835102,-4.253965627237335
162,"Calton (part), Cowcaddens (part), Drygate, Kelvinbridge, Townhead, Woodlands (part), Woodside (part)",55.871,-4.2494,Costa Coffee,Coffee Shop,55.85953405574411,-4.258189281886999
163,"Calton (part), Cowcaddens (part), Drygate, Kelvinbridge, Townhead, Woodlands (part), Woodside (part)",55.871,-4.2494,The Coffee Loft,Café,55.86601007538728,-4.260964846233415
164,"Calton (part), Cowcaddens (part), Drygate, Kelvinbridge, Townhead, Woodlands (part), Woodside (part)",55.871,-4.2494,Coffee Republic,Coffee Shop,55.863084,-4.256328
165,"Calton (part), Cowcaddens (part), Drygate, Kelvinbridge, Townhead, Woodlands (part), Woodside (part)",55.871,-4.2494,Coffee Republic,Coffee Shop,55.862611,-4.25486
166,"Calton (part), Cowcaddens (part), Drygate, Kelvinbridge, Townhead, Woodlands (part), Woodside (part)",55.871,-4.2494,Costa Coffee,Coffee Shop,55.86218027273272,-4.25121834496696
167,"Calton (part), Cowcaddens (part), Drygate, Kelvinbridge, Townhead, Woodlands (part), Woodside (part)",55.871,-4.2494,Riverhill Coffee Bar,Coffee Shop,55.86051963464954,-4.2557558365637425
168,"Calton (part), Cowcaddens (part), Drygate, Kelvinbridge, Townhead, Woodlands (part), Woodside (part)",55.871,-4.2494,The Coffee Pod,Coffee Shop,55.86812014286141,-4.272322220896481
169,"Calton (part), Cowcaddens (part), Drygate, Kelvinbridge, Townhead, Woodlands (part), Woodside (part)",55.871,-4.2494,Commotion Coffee Bar,Café,55.86618166848334,-4.260096292820151
170,"Calton (part), Cowcaddens (part), Drygate, Kelvinbridge, Townhead, Woodlands (part), Woodside (part)",55.871,-4.2494,AmPm Coffee,Café,55.86499083563402,-4.2515355499801775
171,"Calton (part), Cowcaddens (part), Drygate, Kelvinbridge, Townhead, Woodlands (part), Woodside (part)",55.871,-4.2494,Coffee Time,Café,55.8681441042188,-4.271021108587598
172,"Calton (part), Cowcaddens (part), Drygate, Kelvinbridge, Townhead, Woodlands (part), Woodside (part)",55.871,-4.2494,AMT Coffee,Coffee Shop,55.86233746031476,-4.251181990308605
173,"Calton (part), Cowcaddens (part), Drygate, Kelvinbridge, Townhead, Woodlands (part), Woodside (part)",55.871,-4.2494,Starbucks,Coffee Shop,55.861512,-4.253548
174,"Calton (part), Cowcaddens (part), Drygate, Kelvinbridge, Townhead, Woodlands (part), Woodside (part)",55.871,-4.2494,Costa Coffee,Coffee Shop,55.86487154668423,-4.258559806854746
175,"Calton (part), Cowcaddens (part), Drygate, Kelvinbridge, Townhead, Woodlands (part), Woodside (part)",55.871,-4.2494,AMT Coffee,Coffee Shop,55.85919828104176,-4.258298764931011
176,"Calton (part), Cowcaddens (part), Drygate, Kelvinbridge, Townhead, Woodlands (part), Woodside (part)",55.871,-4.2494,Ble Coffee Stories,Café,55.857351,-4.254542
177,"Calton (part), Cowcaddens (part), Drygate, Kelvinbridge, Townhead, Woodlands (part), Woodside (part)",55.871,-4.2494,Sippa Coffee,Café,55.8629146024598,-4.260738212596522
178,"Calton (part), Cowcaddens (part), Drygate, Kelvinbridge, Townhead, Woodlands (part), Woodside (part)",55.871,-4.2494,Aroma Coffee Bar,Café,55.86272137541398,-4.236532755348919
179,"Calton (part), Cowcaddens (part), Drygate, Kelvinbridge, Townhead, Woodlands (part), Woodside (part)",55.871,-4.2494,Exchange Coffee Shop,Café,55.859949,-4.25265
